Q1_AgeBracket,Q2_HouseholdSize,Q3_DietStyle,Q4_ExerciseFreq,Q5_EcoPriority,Q6_OrdersPerWeek,Q7_OrderWindows,Q8_AvgSpendAED,Q9_TipPct,Q10_DeliveryRadiusKm,Q11_FavCuisines,Q12_SpiceLevel,Q13_AllergyFlag,Q14_PackagingSustainScore,Q15_TraceabilityInterest,Q16_MealConfiguratorUse,Q17_DynamicPricingOpinion,Q18_ZeroWasteSubscription,Q19_LoyaltyPerk,Q20_FreshnessAlertsValue,Q21_GroupCartUsage,Q22_NetPromoterScore,Q23_ChurnIntent
5,1,5,3,1,2,"Late-night,Lunch,Breakfast",62.16,13.1,6.9,"Thai,Indian",1,1,1,3,2,4,2,3,3,3,7,5
4,2,1,1,4,4,"Breakfast,Late-night",77.05,7.7,6.5,"Thai,Other,Mexican",1,0,5,4,3,4,2,3,3,3,6,5
3,1,5,3,4,1,"Late-night,Lunch",55.36,5.3,3.7,"Indian,Thai,Other,Mexican",2,1,5,3,3,2,0,1,2,3,5,3
4,3,2,1,3,1,"Late-night,Lunch",40.15,8.3,8.6,"Indian,Thai,Mexican,Japanese",1,1,2,4,1,3,1,1,2,4,5,4
4,2,1,1,3,2,Dinner,45.25,6.1,5.2,"Thai,Mexican",1,1,3,4,4,5,0,4,2,3,6,2
3,2,5,4,3,2,"Breakfast,Dinner",63.98,13.7,5.0,"Thai,Other,Mexican",2,1,3,4,2,4,0,2,3,5,6,3
6,2,4,4,4,3,"Late-night,Breakfast,Dinner",34.78,4.9,9.3,Japanese,1,0,4,2,2,4,2,2,3,1,9,4
2,2,4,3,3,2,"Lunch,Breakfast",39.73,8.5,8.0,"Other,Mediterranean,Thai,Japanese",1,0,4,4,2,3,0,4,5,5,5,2
1,3,5,3,1,4,"Breakfast,Dinner,Late-night",25.53,17.1,3.4,"Mexican,Other,Japanese,Mediterranean",2,0,1,2,3,3,0,1,3,1,5,3
2,3,4,2,4,2,"Dinner,Late-night,Breakfast",100.28,11.9,4.5,Indian,2,0,4,5,3,3,0,4,4,5,5,3
5,2,2,2,5,1,Lunch,51.04,4.0,6.7,"Mediterranean,Indian,Thai",2,0,4,3,4,4,2,1,4,4,7,5
4,1,4,1,5,1,"Late-night,Dinner,Lunch",58.55,6.3,5.0,"Thai,Mediterranean,Japanese,Other",2,0,5,3,3,4,2,2,4,4,7,5
6,3,1,1,3,5,"Lunch,Late-night,Breakfast",71.7,13.8,3.9,"Japanese,Indian,Thai",4,1,3,3,4,4,2,1,5,3,3,5
1,4,5,2,2,3,"Late-night,Lunch",39.95,11.0,7.4,"Other,Indian,Mexican,Thai",3,0,1,3,3,3,0,4,4,1,6,4
5,1,5,1,4,3,"Late-night,Breakfast",57.73,15.8,6.2,Other,1,0,3,3,4,5,2,1,2,1,6,3
2,2,6,3,3,1,Breakfast,42.34,3.9,8.1,"Mediterranean,Japanese,Other,Indian",2,0,3,5,4,3,0,2,4,3,6,2
4,1,1,1,5,5,Late-night,97.39,6.4,6.0,"Thai,Japanese,Mexican",3,1,5,3,2,3,2,2,4,1,9,5
3,2,1,2,3,1,"Breakfast,Dinner",30.69,0.0,4.9,"Japanese,Indian,Mediterranean",3,0,2,3,3,3,0,2,4,1,8,5
5,4,1,1,3,3,Breakfast,49.31,11.6,2.9,Thai,2,0,4,3,1,2,1,2,3,4,7,3
3,3,2,3,5,3,"Lunch,Late-night",40.45,10.7,6.7,"Mexican,Other,Mediterranean",1,0,5,3,4,3,2,1,4,4,7,3
3,2,6,4,2,1,"Late-night,Dinner",41.39,10.1,9.2,Other,2,0,3,3,2,2,1,2,4,3,3,4
2,1,5,4,4,1,"Breakfast,Dinner,Late-night",60.39,7.2,3.4,"Mediterranean,Japanese,Thai",2,1,3,4,3,2,0,2,3,3,4,1
5,2,3,2,4,1,"Breakfast,Dinner,Lunch",151.97,11.1,5.3,"Mexican,Japanese,Indian",3,0,3,3,5,3,1,1,4,1,5,4
3,1,5,3,3,3,"Late-night,Dinner",68.21,6.9,3.4,"Japanese,Other,Thai",2,0,4,4,3,4,0,4,3,4,4,3
4,4,3,4,4,23,Breakfast,301.63,0.0,18.3,"Japanese,Mediterranean",1,0,4,5,2,2,1,2,4,1,8,3
3,2,5,2,4,1,"Lunch,Breakfast",85.22,5.8,3.8,"Other,Japanese",1,0,3,4,3,4,0,1,1,1,8,2
1,3,3,1,3,2,"Dinner,Late-night,Lunch",32.64,13.2,7.3,Mexican,1,0,3,4,3,1,0,1,2,4,10,5
4,2,1,2,3,1,Late-night,135.49,13.4,6.0,Mexican,3,0,4,2,3,2,1,1,4,4,7,5
5,2,3,2,4,5,"Breakfast,Late-night,Dinner",48.1,7.9,6.6,"Japanese,Thai,Indian",4,0,5,2,1,1,2,2,3,4,2,5
2,2,5,3,3,3,Late-night,47.37,10.3,6.7,"Other,Thai,Mexican",2,1,3,3,4,3,0,1,4,3,2,4
2,2,6,2,4,1,"Late-night,Breakfast",31.39,13.3,6.1,"Japanese,Indian,Thai",2,0,3,4,5,1,2,1,4,2,7,2
4,1,1,1,3,4,"Dinner,Breakfast,Late-night",45.6,18.0,5.5,Japanese,2,1,2,3,3,4,0,3,4,4,3,4
3,2,6,4,2,2,"Late-night,Breakfast,Lunch",73.83,13.9,9.3,Indian,2,0,1,4,5,3,0,2,5,2,5,4
5,1,2,1,4,1,Breakfast,165.56,10.4,6.8,"Other,Mediterranean,Indian,Thai",1,1,4,3,2,4,0,1,3,2,7,2
3,2,3,2,4,1,"Dinner,Lunch,Breakfast",70.03,9.2,5.0,Thai,4,0,5,3,3,4,2,4,4,3,5,4
2,2,3,3,4,4,"Breakfast,Dinner,Lunch",42.45,12.9,6.7,"Japanese,Other",2,0,3,3,1,3,2,1,4,2,6,5
